,pnl_daily,total_commission,pnl,pnl_mtd,pnl_ytd,market_value,realized_pnl,unrealized_pnl,net_cost,number_of_holdings,datetime,available_cash,total_asset
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-01 23:55:00+08:00,55800.0,55800.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-02 23:55:00+08:00,55800.0,55800.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-03 23:55:00+08:00,55800.0,55800.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-04 23:55:00+08:00,55800.0,55800.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-05 23:55:00+08:00,55800.0,55800.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-06 23:55:00+08:00,55800.0,55800.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-07 23:55:00+08:00,55800.0,55800.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-08 23:55:00+08:00,55800.0,55800.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-09 23:55:00+08:00,55800.0,55800.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-10 23:55:00+08:00,55800.0,55800.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-11 23:55:00+08:00,55800.0,55800.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-03-12 23:55:00+08:00,55800.0,55800.0
12,9301.794765,1813.266769,9301.794765,9301.794765,9301.794765,12.837762,9302.074926,-0.280161,63352.072134,1,2021-03-13 23:55:00+08:00,63275.690235,63288.527997
13,18712.93774,4793.959347,28014.732505,28014.732505,28014.732505,79020.552,32083.782217,-4069.049712,83483.531765,1,2021-03-14 23:55:00+08:00,0.221158,79020.773158
14,33477.672444,11222.289072,61492.404949,61492.404949,61492.404949,106069.99359,62106.202429,-613.79748,108812.95755,1,2021-03-15 23:55:00+08:00,0.122288,106070.115878
15,17195.826802,15940.069069,78688.231751,78688.231751,78688.231751,0.0,78688.231751,0.0,115774.464015,1,2021-03-16 23:55:00+08:00,118548.162684,118548.162684
16,8689.464125,20558.154568,87377.695876,87377.695876,87377.695876,0.0,87377.695876,0.0,123710.409606,1,2021-03-17 23:55:00+08:00,122619.54131,122619.54131
17,16286.123522,24188.065909,103663.819398,103663.819398,103663.819398,135275.669176,106354.52167,-2690.702272,139094.031727,1,2021-03-18 23:55:00+08:00,0.084315,135275.753491
18,-2381.085188,25912.983538,101282.73421,101282.73421,101282.73421,0.0,101282.73421,0.0,139094.031727,1,2021-03-19 23:55:00+08:00,131169.750673,131169.750673
19,-3245.188789,28490.27623,98037.545421,98037.545421,98037.545421,0.0,98037.545421,0.0,139094.031727,1,2021-03-20 23:55:00+08:00,125347.269192,125347.269192
20,25090.99979,33395.201195,123128.545211,123128.545211,123128.545211,1707.086392,123111.498489,17.046722,144225.516471,1,2021-03-21 23:55:00+08:00,143826.257623,145533.344015
21,-7354.934723,36073.198613,115773.610488,115773.610488,115773.610488,135500.2036,115773.610488,0.0,147168.773401,1,2021-03-22 23:55:00+08:00,0.208274,135500.411874
22,-672.269509,39784.757502,115101.340979,115101.340979,115101.340979,131116.416127,114688.202661,413.138318,147168.773401,1,2021-03-23 23:55:00+08:00,0.167349,131116.583476
23,28525.570335,45441.248549,143626.911314,143626.911314,143626.911314,153985.455935,143626.911314,0.0,148902.5656,1,2021-03-24 23:55:00+08:00,0.206829,153985.662764
24,18529.329532,51441.370445,162156.240846,162156.240846,162156.240846,166514.842494,163871.560584,-1715.319738,174329.811838,1,2021-03-25 23:55:00+08:00,0.027907,166514.870401
25,9363.489786,55025.059452,171519.730632,171519.730632,171519.730632,4503.028215,171306.226397,213.504235,174329.811838,1,2021-03-26 23:55:00+08:00,167791.642965,172294.67118
26,9943.724319,58037.221806,181463.454951,181463.454951,181463.454951,179226.06912,180654.531111,808.92384,178675.543584,1,2021-03-27 23:55:00+08:00,0.164025,179226.233145
27,26970.308165,62671.089481,208433.763116,208433.763116,208433.763116,201562.573082,209182.276956,-748.51384,200511.94964,1,2021-03-28 23:55:00+08:00,0.100552,201562.673634
28,4202.000992,65657.949528,212635.764108,212635.764108,212635.764108,3550.104198,212584.132854,51.631254,204735.241278,1,2021-03-29 23:55:00+08:00,199227.710381,202777.814579
29,3125.591591,66680.362447,215761.355699,215761.355699,215761.355699,204880.875004,215403.184028,358.171671,204735.241278,1,2021-03-30 23:55:00+08:00,0.118247,204880.993251
30,28887.423298,71857.106905,244648.778997,244648.778997,244648.778997,0.0,244648.778997,0.0,234012.927049,1,2021-03-31 23:55:00+08:00,228591.672091,228591.672091
31,7654.213452,75754.139353,252302.992449,7654.213452,244648.778997,232348.82819,252580.415464,-277.423015,234012.927049,1,2021-04-01 23:55:00+08:00,0.024905,232348.853095
32,6024.583654,77147.386608,258327.576103,13678.797106,250673.362651,236980.16433,256738.001012,1589.575091,234012.927049,1,2021-04-02 23:55:00+08:00,0.025164,236980.189494
33,-4332.638371,77842.386289,253994.937732,9346.158735,246340.72428,0.0,253994.937732,0.0,235390.589239,1,2021-04-03 16:30:00+08:00,231952.551442,231952.551442
