,value
start,2021-03-01 00:00:00+08:00
end,2021-03-12 00:00:00+08:00
duration,11 days 00:00:00
beginning_balance,200000
ending_balance,309198.353859
total_net_profit,109198.35385900002
gross_profit,296701.56012299994
gross_loss,-187503.2062639999
profit_factor,1.5823812618182724
return_on_initial_capital,0.5459917692950002
annualized_return,0.11011128198658149
total_return,0.5459917692950002
max_return,0.6087775027750002
min_return,-0.0009990009599999757
number_trades,106
number_winning_trades,50
number_losing_trades,14
avg_daily_trades,21.2
avg_weekly_trades,53.0
avg_monthly_trades,106.0
win_ratio,0.4716981132075472
loss_ratio,0.1320754716981132
win_days,5
loss_days,2
max_win_in_day,58083.253957
max_loss_in_day,-5044.744502
max_consecutive_win_days,8
max_consecutive_loss_days,1
avg_profit_per_trade,1177.2030624182694
trading_period,0 years 0 months 11 days
avg_daily_pnl($),103.9984322466667
avg_daily_pnl,0.00042745499155584423
avg_weekly_pnl($),51345.55016499999
avg_weekly_pnl,0.1991273681318313
avg_monthly_pnl($),
avg_monthly_pnl,
avg_quarterly_pnl($),
avg_quarterly_pnl,
avg_annualy_pnl($),
avg_annualy_pnl,
sharpe_ratio,0.7959755505230007
sortino_ratio,2.7335241752510058
annualized_volatility,0.07983778701795977
omega_ratio,0.0006711584960104722
downside_risk,0.03940651370393733
information_ratio,0.030084566426662854
beta,0.12435245018888902
alpha,-0.9999468703443735
calmar_ratio,1.4831373693562837
tail_ratio,1.676903110789046
stability_of_timeseries,0.7987564490823313
max_drawdown,0.07424213310353872
max_drawdown_period,"(Timestamp('2021-03-09 09:30:00+0800', tz='pytz.FixedOffset(480)'), Timestamp('2021-03-11 05:30:00+0800', tz='pytz.FixedOffset(480)'))"
max_drawdown_duration,1 days 20:00:00
sqn,1.7465830484228995
model_name,Simple KNN Signal Generation Strategy
algorithm,"['KNN', 'Simple Moving Average', 'Bollinger Band']"
model_measures,"['f1-score', 'accuracy']"
f1-score,0.4027575877044811
accuracy,0.42363636363636364
